id,name,rate
6073,San Diego,5702
6019,Fresno,5294
42071,Lancaster,4009
6107,Tulare,3952
6099,Stanislaus,3532
6077,San Joaquin,3181
53077,Yakima,2989
47059,Greene,2952
41005,Clackamas,2842
15001,Hawaii,2659
27145,Stearns,2658
6065,Riverside,2655
55073,Marathon,2427
48149,Fayette,2363
8123,Weld,2353
5143,Washington,2313
27111,Otter Tail,2241
48285,Lavaca,2202
6047,Merced,2201
6097,Sonoma,2181
12057,Hillsborough,2163
55025,Dane,2144
41047,Marion,2059
48467,Van Zandt,2059
5007,Benton,2025
1043,Cullman,1953
29077,Greene,1925
21009,Barren,1913
21199,Pulaski,1899
55043,Grant,1871
55019,Clark,1830
55123,Vernon,1824
48367,Parker,1781
48231,Hunt,1762
1049,DeKalb,1744
41043,Linn,1727
51191,Washington,1724
41039,Lane,1718
48477,Washington,1715
21227,Warren,1709
47073,Hawkins,1707
39037,Darke,1669
48309,McLennan,1669
55027,Dodge,1669
48029,Bexar,1666
47179,Washington,1653
41019,Douglas,1647
27153,Todd,1645
27097,Morrison,1640
48181,Grayson,1632
19167,Sioux,1630
48251,Johnson,1629
48497,Wise,1629
48491,Williamson,1624
16027,Canyon,1623
12105,Polk,1600
48223,Hopkins,1592
29091,Howell,1591
48015,Austin,1579
21093,Hardin,1561
48257,Kaufman,1557
6079,San Luis Obispo,1540
48187,Guadalupe,1536
40081,Lincoln,1534
51165,Rockingham,1534
6111,Ventura,1530
48493,Wilson,1530
29109,Lawrence,1519
36013,Chautauqua,1516
29145,Newton,1514
6007,Butte,1511
53063,Spokane,1503
48021,Bastrop,1490
41071,Yamhill,1488
47165,Sumner,1485
47189,Wilson,1483
48289,Leon,1483
48143,Erath,1469
48213,Henderson,1461
42133,York,1456
48027,Bell,1455
48423,Smith,1452
29167,Polk,1451
41029,Jackson,1443
49049,Utah,1442
29009,Barry,1428
17099,LaSalle,1426
41067,Washington,1424
48177,Gonzales,1422
48331,Milam,1419
27171,Wright,1417
29215,Texas,1417
29225,Webster,1408
29071,Franklin,1395
47103,Lincoln,1395
55017,Chippewa,1395
29101,Johnson,1394
51169,Scott,1391
17113,McLean,1390
27045,Fillmore,1389
48139,Ellis,1388
19149,Plymouth,1385
48287,Lee,1383
48217,Hill,1375
19109,Kossuth,1372
29037,Cass,1370
48001,Anderson,1368
48121,Denton,1366
40079,Le Flore,1359
42011,Berks,1358
21085,Grayson,1354
47025,Claiborne,1353
19061,Dubuque,1352
48201,Harris,1352
21099,Hart,1347
48123,DeWitt,1347
47119,Maury,1345
55005,Barron,1338
27049,Goodhue,1337
39169,Wayne,1337
17105,Livingston,1334
12083,Marion,1333
55081,Monroe,1325
21211,Shelby,1324
51015,Augusta,1324
48147,Fannin,1312
21027,Breckinridge,1309
47149,Rutherford,1309
4013,Maricopa,1306
48073,Cherokee,1304
48277,Lamar,1301
47099,Lawrence,1300
39015,Brown,1298
40051,Grady,1298
40121,Pittsburg,1296
47055,Giles,1296
19113,Linn,1294
21045,Casey,1294
6071,San Bernardino,1290
19043,Clayton,1287
10005,Sussex,1286
48039,Brazoria,1286
55115,Shawano,1283
55039,Fond du Lac,1280
40015,Caddo,1277
48089,Colorado,1274
21001,Adair,1270
39075,Holmes,1269
5145,White,1268
17001,Adams,1268
17075,Iroquois,1267
53025,Grant,1267
48325,Medina,1264
42125,Washington,1263
12086,Miami-Dade,1261
21151,Madison,1261
18039,Elkhart,1260
26151,Sanilac,1253
26005,Allegan,1251
17019,Champaign,1249
40089,McCurtain,1248
36089,St. Lawrence,1247
48093,Comanche,1244
6029,Kern,1243
19191,Winneshiek,1243
1095,Marshall,1241
40013,Bryan,1240
29229,Wright,1238
47147,Robertson,1235
18087,LaGrange,1234
21137,Lincoln,1231
37101,Johnston,1230
48225,Houston,1230
20173,Sedgwick,1224
18003,Allen,1223
6039,Madera,1221
47163,Sullivan,1221
55021,Columbia,1221
48215,Hidalgo,1217
48349,Navarro,1213
55095,Polk,1210
55121,Trempealeau,1210
47111,Macon,1209
48171,Gillespie,1209
31109,Lancaster,1207
55033,Dunn,1207
29097,Jasper,1206
17073,Henry,1205
55087,Outagamie,1205
48185,Grimes,1204
20155,Reno,1203
16083,Twin Falls,1200
21179,Nelson,1200
19065,Fayette,1197
55109,St. Croix,1193
29043,Christian,1192
51143,Pittsylvania,1192
48499,Wood,1190
55071,Manitowoc,1188
40131,Rogers,1186
8077,Mesa,1184
37061,Duplin,1183
26021,Berrien,1181
39001,Adams,1180
39137,Putnam,1176
53073,Whatcom,1176
55111,Sauk,1175
40049,Garvin,1174
51105,Lee,1174
29105,Laclede,1173
39107,Mercer,1173
53011,Clark,1173
6103,Tehama,1172
37151,Randolph,1169
40101,Muskogee,1167
42015,Bradford,1167
29027,Callaway,1166
48051,Burleson,1162
47177,Warren,1161
6083,Santa Barbara,1160
48097,Cooke,1160
6067,Sacramento,1158
19045,Clinton,1157
47003,Bedford,1157
40097,Mayes,1154
6037,Los Angeles,1150
31041,Custer,1150
24021,Frederick,1148
19155,Pottawattamie,1145
55105,Rock,1144
41059,Umatilla,1142
26063,Huron,1141
19055,Delaware,1140
29147,Nodaway,1139
17173,Shelby,1136
48401,Rusk,1133
19097,Jackson,1131
26145,Saginaw,1130
37171,Surry,1128
27129,Renville,1125
53047,Okanogan,1124
37163,Sampson,1123
21125,Laurel,1122
34019,Hunterdon,1120
46099,Minnehaha,1116
55055,Jefferson,1116
47187,Williamson,1115
19011,Benton,1113
20015,Butler,1112
26139,Ottawa,1111
42055,Franklin,1111
17119,Madison,1110
29107,Lafayette,1110
48085,Collin,1110
27127,Redwood,1109
29159,Pettis,1108
53061,Snohomish,1105
20113,McPherson,1104
29217,Vernon,1104
47057,Grainger,1104
17117,Macoupin,1101
29019,Boone,1101
39089,Licking,1101
36101,Steuben,1100
29067,Douglas,1096
5009,Boone,1095
48395,Robertson,1095
51019,Bedford,1095
40125,Pottawatomie,1093
48161,Freestone,1090
27109,Olmsted,1089
16011,Bingham,1088
19193,Woodbury,1087
37115,Madison,1080
53033,King,1079
19171,Tama,1075
21059,Daviess,1075
27105,Nobles,1075
31155,Saunders,1074
47089,Jefferson,1074
