County,State,code,TotalPop,pctWorking,pctForeign,pctPoor
Abbeville SC,SC,45001,20497,60.91,0.84,21.67
Acadia Parish LA,LA,22001,60076,60.18,1.08,19.31
Accomack VA,VA,51001,33159,59.08,6.46,19.45
Ada ID,ID,16001,394692,63.14,6.22,12.17
Adair IA,IA,19001,6332,54.98,1.15,9.59
Adair KY,KY,21001,17495,61.15,1.09,20.84
Adair MO,MO,29001,25622,67.83,2.97,24.76
Adair OK,OK,40001,23666,59.12,2.27,25.25
Adams CO,CO,8001,398913,63.48,13.13,12.81
Adams IA,IA,19003,3714,57.79,0.56,12.68
Adams ID,ID,16003,3940,60.31,1.07,13.97
Adams IL,IL,17001,66895,59.32,1.27,13.86
Adams IN,IN,18001,33946,55.36,1.07,16.76
Adams MS,MS,28001,32334,61.80,2.90,29.30
Adams ND,ND,38001,2137,58.27,1.61,8.62
Adams NE,NE,31001,30862,60.67,4.83,12.72
Adams OH,OH,39001,31280,60.38,0.51,22.30
Adams PA,PA,42001,91984,62.31,4.09,9.00
Adams WA,WA,53001,20532,55.34,24.52,21.41
Adams WI,WI,55001,15717,60.82,2.21,13.83
Addison VT,VT,50001,35576,65.71,4.01,11.47
Adjuntas Municipio PR,PR,72001,100,20.00,2.00,2.00
Aguada Municipio PR,PR,72003,100,20.00,2.00,2.00
Aguadilla Municipio PR,PR,72005,100,20.00,2.00,2.00
Aguas Buenas Municipio PR,PR,72007,100,20.00,2.00,2.00
Aibonito Municipio PR,PR,72009,100,20.00,2.00,2.00
Aiken SC,SC,45003,151177,61.48,3.51,19.33
Aitkin MN,MN,27001,16266,55.32,1.14,12.96
Alachua FL,FL,12001,249018,70.84,10.45,23.80
Alamance NC,NC,37001,157873,61.72,7.29,17.06
Alameda CA,CA,6001,1515717,66.31,30.57,12.16
Alamosa CO,CO,8003,15467,64.35,5.58,21.96
Albany NY,NY,36001,284720,66.30,9.04,13.44
Albany WY,WY,56001,36241,74.64,5.17,26.09
Albemarle VA,VA,51003,83002,61.99,9.46,8.71
Alcona MI,MI,26001,10438,54.07,1.66,15.00
Alcorn MS,MS,28003,36277,60.09,1.56,19.28
Aleutians East Borough AK,AK,2013,3138,87.32,57.89,16.21
Aleutians West Census Area AK,AK,2016,5362,78.57,36.77,10.21
Alexander IL,IL,17003,8175,59.49,1.48,31.72
Alexander NC,NC,37003,36658,61.91,2.93,18.93
